name,address,contact,email,areaOfWork,isBmcPartner,ward
Sai Connections,"Landmark Platinum Unit No 602, 6Th Floor, Plot No. 337/338 Corner Of Sv Road And 34Th Rd, Khar West, Mumbai, Maharashtra 400052",9137051989 /9137074707,samidha@saiconnections.com,"Autism- Mental Health - Autism Spectrum Disorder,  Adhd And Othe Learning Disabilities",true,"Education Department,  H West Ward"
Salaam Bombay Foundation,"Salaam Bombay Foundation 1St Floor, Nirmal Building, Nariman Point, Mumbai - 400021.",8452975583,narayan@salaambombay.org,"Keep Children In School By Empowering Them To Make The Right Choices About Their Health,  Education And Livelihood Thereby Ensuring That They Can Thrive With A Bright Future.",true,Education Department (Except Ward B & C . Working with all other BMC wards )
Salvation Army,"79A Sheikh Hafizuddin Marg, Byculla, Mumbai, Maharashtra 400008",9664279559,owt.mail@iwt.salvationarmy.or g,"Education And Vocational Training,  Helping The underpriviliged",false,Not working with BMC
Samarpan Charitable Trust (Heed India),"21, Unique Ind Estate, Vs Marg, Prabhadevi, Mumbai - 400025, Maharashtra, India",9820297333,info@heedindia.org,Provide Equal Opportunities To Everyone At The Grassroots Level Of Sports Programs.,true,"Education Department (Sports Department)  M East, Chembur, G North Ward"
Samarth Mahila Bachat Gat,"Kaushaliya Ramkaran Kevat Chawl, Kotkar Compound, Near Durian Industries, Goregaon (East), Mumbai: 400 063.",7506761442 / 9619295195,kevatsurekha@gmail.com,"Women empowerment, self-help savings, income generation.",false,Not working with BMC
Samiksha Berojgar Seva Sahkari Sanstha,"Koliwada Chowki,Near Masjid Bunder,",9594907467,ketankadam2011@gmail.com,Employment & vocational training Cooperative credit support,true,"SWM Department,  B  Ward"
Samruddhi Mahila Bachat Gat,"Room No 99, Parsi Chaala, Kala Killa Dharavi Mumbai 400 017",9870812354,samruddhimahilabachgat@gma il.com,"Women empowerment, self-help savings, income generation.",true,"SWM Department,  G/N Ward"
Sanctum Foundation,"Ground Floor, Godfrey Villa, Pali Market Road, Bandra West, Mumbai 400050",9324276361,info@sanctumfoundation.com,Health - Mental Health,false,Not working with BMC
Sandesh Berojgar Seva Sanstha,"Koliwada Chowki,Near Masjid Bunder,",9594907467,ketankadam2011@gmail.com,Job-oriented training / Youth empowerment,true,"SWM Department,  B  Ward"
Sanjog Nagrik Seva Sangh- Gorai,"28, Rsc Rd Number 11, Shri Ganeshkrupa Society, Sambhav Society, Gorai 2, Borivali West, Mumbai, Maharashtra 400092",9892931986,info@sajag.org,"Swachh Bharat Mission,  Education To Children,  Women Empowerment",true,SWM  RC Ward
Sanskrita Foundation,"Sri Samarth, Plot No.30 Rd No.4, Abhinav Nagar, Borivali East, Mumbai, Maharashtra 400066",9821628388,Not Specified,Art And Heritage - 1. Chitrangada 2. The Glimpse Of Indian Classic Dance 3. Mayurpankha,false,Not working with BMC
Sanskruti Berojgar Seva Sahakari Sanstha Mryadit,"Shinde Chawl, Room No. 6, Chincholi Vitthal Pada, N.B. Road, Malad (W.), Mumbai: 400 064.",8879002567  / 9619966911,sanskrutiberojgar123@gmail.co m,Employment & livelihood generation / Cooperative micro-finance,false,Not working with BMC
Sanskruti Mahila Seva Sahkari Sanstha Maryadit,"Room No. 15, Near Satyvan Niwas, A-1 Bekary, Hanuman Nagar, Goregaon (West), Mumbai: 400 104.",9967346171 / 9820287253,sanskrutimahilaseva@gmail.co m,"Financial inclusion, cooperative savings, women�s welfare",false,Not working with BMC
Santosh Institute For Mentally Challenged And Autistic Children,"Bandra, Mumbai, India, Maharashtra",9820687976,santoshinstitute@yahoo.com,Health - 1.Autism 2.Mental Health,false,Not working with BMC
Santosh Institute For Mentally Challenged And Autistic Children,"Road No 13, Shrikanth Hadkar Marg, Abhudaya Nagar, Kalachowki, Chatai Chawl, Parel, Mumbai, Maharashtra 400033",9820687976,Not Specified,Autism- Mental Health,false,Not working with BMC
Save Our Strays,"Khandelwal Apartment, 17Th Rd,Khar, Krishna Nagar, Khar West, Mumbai, Maharashtra 400052",9820141310,saveourstraysmum@gmail.com,Animal Welfare - 1. Animal Welfare & Rescue,false,Not working with BMC
Save The Child,"Sg9, G Block, Adjacent To American School Of Bombay, Bandra-Kurla Complex, Bandra East, Mumbai, Maharashtra 400098",7208350369,info@viplafoundation.org,"Special Care Centre,  Education,  Combatting Trafficking",true,Health Department  N Ward
Shanti Vasti Star Sangh,"B/J Jabet Chawl Room No. 3,Kirole Village,Vidyavihar West,Near Gaondevi Mandir",8879515591,anujadavande@gmail.com,Swacch Bharat Mission,true,"Ac Planning , N Ward"
Sherry And Divya Foundation,"1St Ln, Near Pujari Building, Nav Jeevan Society, Siddharth Nagar, Kamathipura, Mumbai, Maharashtra 400008",18001231137,Not Specified,Animal Welfare - 1. Promote Veganism And Educate People On Providing A Better Environment For Animals 2. Prevention Of Towards Animals.,false,Not working with BMC
Shikshaseva Foundation,"Hari Om Plaza, A/124, Mahatma Gandhi Rd, Near Omkareshwar Temple, Sukarwadi, Borivali East, Mumbai, Maharashtra 400066",9892973412 / 9029001618,info@shikshaseva.org,Education And Training - 1. Education And Literacy 2. Women Welfare 3. Child Rights And Welfare Poverty Alleviation - 1. Education And Literacy 2. Child Rights And Welfare,false,Not working with BMC
Shradhanand Mahila Ashram,"The Hindu Womens Welfare Society, Plot 424, Shradhanand Cross Rd, Brhmanwada, Matunga East, Mumbai, Maharashtra 400019",2268525655,Not Specified,"Shelter, welfare of vulnerable women",true,Health Department  F North
Shravani Nagarik Seva Sahkarya Sanstha.,"Room No. 27, Indira Nagar Chandramani Seva Sangh, Link Road, Goregaon (W.), Mumbai: 400 104.",9821330041  / 8898140552,shrawanisanstha22@gmail.com,Focuses on various Community Services.,false,Not working with BMC
"Shree Kutchhi Lohana Seva Mandal Rambaug, Rambaug Lane, Matunga (R), Mumbai  - 19","Shree Kutchhi Lohana Seva Mandal Rambaugh, Rambaugh Lane, Opp. Laxmi Narayan Mandir, Matunga East",9821936688 / 8879811050 / 9833987360,bjpward174@gmail.com,"Community welfare, education, cultural activities",false,Not working with BMC
Shree Mataji Mahila Bachat Gat,"Bhagatsingh Nagar No. 1, Hanuman Galli No. 7, Link Road, Goregaon (West), Mumbai: 400 104.",8433945991 / 8369571508,shreemataji703@gmail.com,"Women empowerment, self-help savings, income generation.",true,"SWM, P South Ward"
Shree Siddhivinayak,"88, Siddharth Nagar, Opp. Purnima Bldg., S N Road, Mulund West, Mum. No. 80",9820997772,farooqsaiyed546@gmail.com,Religious & community services,false,Not working with BMC
Shree Siddhivinayak Ganapati Temple Trust,"S.K. Bole Marg, Prabhadevi, Mumbai 400028",2262491111,info@siddhivinayak.org,"Community Development - Healthcare, Community Development,  Hinduism",true,"Health Department, G South Ward"
Shri Balaji Berojgar Seva Sahakari Sanstha (Ltd),Not Specified,9820709008,Not Specified,Skill training Entrepreneurship promotion,true,"SWM,  E  Ward"
Shri Gouri Pratishthan,"59 Dr. Babasaheb Ambedkar Nagar,Sadu T.L Vasvani Marg, Cup Parade",8652807550,chorgepriya1515@gmail.com,"Community service, festivals, health camps, youth activities.",true,"SWM, A Ward"
Shri Omkar Seva Sahakari Sanstha (Ltd),"845, Shivneri Building, Mumbai - 400011",9821107839,shriomkarseva@gmail.com,Cooperative services Community welfare initiatives,true,"SWM,   E  Ward"
Shrimad Rajchandra Aatma Tatva Research Centre,"702 Sharda Chambers, 15 New Marine Lines, Mumbai 400020",9920019903,info@vitraagvigyaan.org,Education And Training - 1. Women Welfare 2. Education And Literacy 3. Free Healthcare,false,Not working with BMC
Sidhhesh Berojgar Seva Sahkari Sanstha,"Koliwada Chowki,Near Masjid Bunder,",9594907467,ketankadam2011@gmail.com,Job skills programs Micro-enterprise support,true,"SWM,   B  Ward"
Sneha,"Allied C0-Op Housing Society, Ground Floor, St. John Street, Off Pali Road, Near Learners Academy, Bandra West, Mumbai, Maharashtra 400050",8779652801,communications@snehamumb ai.org,"Maternal And Child Health,  Public System Partnership,  Empowerment,  Health And Sexuality Of Adolescents,  Prevention Of Violence Against Women And Children",true,"Health Department  , A to T ward"
Sneha Group,"Room No. 11, Plot No. 22, New Collector Compound, Gate 06, Near Murgan Mandir, Malwani, Malad West, Mumbai, Maharashtra 400095",9273077599 / 8425987058,Not Specified,Social Welfare,true,Health Department  R South Ward
Sneha Ngo,"310, 3rd Floor, Urban Health Center, 60 Feet Road, Dharavi, Mumbai 400 017.",8655500640,Not Specified,Social Welfare,true,"Health Department , L, N, P North, P South, M East, K East, R South, G North, E Ward"
Sneha Ngo,"K.E.M Hospital, Near Ward No.1, Ground Floor, Parel, Mumbai, Maharashtra 400012",8779652801,Not Specified,"Maternal And Child Health,  Public System Partnership,  Empowerment,  Health And Sexuality Of Adolescents,  Prevention Of Violence Against Women And Children",true,"Health Department , L, N, P North, P South, M East, K East, R South, G North, E Ward"
Sneha Ngo,"Opp Noorani Masjid, 2Nd Floor Sneha Centre, Dr. Zakir Hussain Nagar, Govandi West, Mumbai, Maharashtra 400043",9004788609,Not Specified,"Maternal And Child Health,  Public System Partnership,  Empowerment,  Health And Sexuality Of Adolescents,  Prevention Of Violence Against Women And Children",true,"Health Department , L, N, P North, P South, M East, K East, R South, G North, E Ward"
"Society For Nutrition, Education And Health Action","Mumbai, Behind Building No. 11, Bmc Colony, Shastri Nagar, Santa Cruz West, Mumbai 400054",9920199188,communications@snehamumb ai.org,Health - 1.Preventive And Promotive Healthcare With Special Focus On Vulnerable Women And Children -Maternal & Child Health 2.Prevention Of Violence Against Women And Children,true,"Health Department, F North, F South, L & M East Ward"
Soniya Mahila Bachat Gat,Room No 99 Parsi Chaala Kala Killa Dharavi Mumbai 400 017,9870812354,soniyamahilabachatgat@gmail. com,"Women empowerment, self-help savings, income generation.",true,"SWM Department,  G/N Ward"
Sparsha Charitable Trust,"C-1, Shram Shakti,Room No 116, Wadala Truck Terminal, Next To Wadala Tt Police Station, Mumbai 400037",9223290796,sparshatrust@hotmail.com,Education And Training - 1. Community Development 2. Education And Literacy 3. Free Healthcare,true,Education Department - M East Ward &  Health Department F North Ward
Sparsha Charitable Trust,"C-1, Shram Shakti, Room No 116 Wadala Truck Terminal, Next To Wadala Tt Police Station, Wadala",9223290796/ 9821075442,sparshatrust@hotmail.com / sa nskar_child@hotmail.com,Community Development - 1.Education 2.Health 3.Community Development,true,Education Department - F North Ward
Spedathome,"6, Margaret House, S.M. Dargah Road, Wadala, Mumbai, Maharashtra 400037",8591278195,support@spedathome.com,"Health - 1.Autism 2.Disability Support Mental Health - Educational Assessment, Occupational Therapy Assessment,  Remedial Therapy,  Occupational Therapy",false,Not working with BMC
Sterlite Edindia Foundation,"Foundation Office Address: B-607, Damji Shamji Corporate Square, Mellville Estate, Off. Ghatkopar Andheri Link Road, Ghatkopar (E), Mumbai 400 075",8169964177,aniket.naik@edindia.org / varun.bhamre@edindia.org,Every Child In The Country Has Access To Quality Education,true,Education Department  A to T Ward
Sunrise Foundation,"114, Room No.7, 3Rd Floor, Barkatali Virani Marg, Post Office Mumbai Central H.O Mumbai, Maharashtra, India, Pin Code 400 008.",9819529977,foundationsunrise@yahoo.com,Education,true,"Education Department , B , D, E & F South Ward."
Support- Society Undertaking Poor People'S Onus For Rehabilation,"3Rd Floor, Manthan Plaza, Vakola Market, Nehru Road, Santacruz (East), Mumbai - 400055, India.",8928846639 22-26652904 / 26653045 / 26662806,"support@supportstreetchildren.org",& Awareness 2.De-Addiction 3.Rehabilitation 4.Education 5.Skill Training 6.Ansh Community Kitchen,false,Not working with BMC
Swachhata Samvardhan Mahasangh,"Savitribai Phule Mahila Mandal Kokan, Vaibhav Chawl, Kamraj Nagar, Vasantrao Naik Marg, Ghatkopar (East), Mumbai 400077.",9821240320,care@sssms.in,"Upkeep of Public And Community Toilets, Integrated Solid Waste Management Services, Road Sweeping And Cleanliness Services, Supply Of Maid Servants,  Training And Capacity Building",true,"Swm Department,  M East"
Swagat Ashram,"Behind St Anthony Malvani Church, Chickuwadi Lane, Marve Road, Malad West, Mumbai 400100",2264223371 / 9224453599,swagatashram@yahoo.com.in,Housing - 1. Orphanages 2. Child Rights And Welfare 3. Shelter Homes And Homelessness,false,Not working with BMC
Swanath Foundationn,"102 Dev Darshan Annex, 50, Ridge Rd, Walkeshwar, Malabar Hill, Mumbai, Maharashtra 400006",9850696663,info@swanath.org,Orphanages -  Orphanages,false,Not working with BMC
Swara Mahila Bachat Gat.,"Gm-18, Jay Hind Mitra Mandal, Teen Dongri, Goregaon (W), Mumbai: 400 104.",9320644023  / 9967098847,prachisurve9999@gmail.com,Women's Self-Help Group (SHG),false,Not working with BMC
Swaranjali Vasti Star Sangh,Not Specified,9773702425,Not Specified,Swacch Bharat Mission,true,"SWM, Health Department"
Talk To Me,"104/7-C, Udyog Mandir 1 Pitamber Lane, Mahim West, Mumbai 400016",7400157640,info@talktome.co.in,Health - Mental Health,true,G/N  Ward
Tata Memorial Centre,"Dr. E Borges Road, Parel, Mumbai - 400 012",2224177000,hrd@tmc.gov.in,Health - 1.Cancer Care 2.Healthcare 3.Other Services,true,F South Ward
Tata Motors Limited - Csr,"Tata Motors A Block, Shivasagar Estate, Dr. Annie Besant Road, Worli, Mumbai - 400 018",9820067059,abb534153@tatamotors.com,"Driving Positive Change By Working With Communities Involves Collaborating, Listening And Understanding their Needs. It Fosters Inclusive Decision-Making,  Builds Trust And Promotes Shared Ownership. Through Active Engagement,  We Are Creating Positive Social Impact,  Empowering Individuals And Contributing To The Well-Being And Development Of Local Communities.",true,Education Department   A to T Ward
Teach For India,"Godrej One, 2Nd Floor, Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai, Maharashtra - 400079",9004482076,tushar.thakur@teachforindia.or g,Education for children.,true,"Education Department  G South, P North, N, M West, H East, M West,  K West & L Ward"
Team Vision Foundation,"40B, First Floor, Kamgar Nagar, Behind Bmc School, Near Nandikeshwar Temple, Kurla East, Pincode: 400024",9372851841,info@teamvision.co.in,Health - 1.Blind-Visually Impaired 2.Disability Support 3.Employment And Career Guidance,false,Not working with BMC
Tejasvi Mahila Bachat Gat,"Aarey Colony, Unit No. 32, Ekta Nagar,  Goregaon (East), Mumbai: 400 065.",9920523644 / 95943894223,vishalivijaybhosale84@gmail.co m,"Women empowerment, self-help savings, income generation.",false,Not working with BMC
The Akansha Foundation,"Voltas House, C Block, T B Kadam Marg, Chinchpokli, Mumbai, Maharashtra 400033",2223700253,marketing@akansha.org,Education And Training - 1. Education And Literacy,false,Not working with BMC
The Autism Clinic,"603 B Wing, Aurus Chambers, Ss Amrutwar Marg, Behind Mahindra Towers, Worli, Mumbai 400013",7021775664,contact@theautismclinic.in,"Autism- Mental Health - Provides Evidence Based,  Developmentally Appropriate Services With A Focus On Verbal Behaviour To Children With Autism Between 2-10 Years Of Age",false,Not working with BMC
The Humsafar Trust,"3Rd Floor, Manthan Plaza, Nehru Rd, Vakola, Santacruz East, Mumbai, Maharashtra 400055",9892940966,info@humsafar.org,"Education And Training - 1. Capacity Building And Training 2. Lgbt Rights And Welfare - Provides Legal Support,  Crisis Management,  Mental Health, Nutrition Counselling To Its Communities, Public Healthcare",false,Not working with BMC
The J N Tata Endownment For The Higher Education Of Indians,"Mulla House, Fort, Mumbai, Mahrashtra 400001",22- 66657774,jnte@tatatrusts.org,Education And Training - 1. Education And Literacy 2. Vocational Training 3. Scholarship And Educational Awards,false,Not working with BMC
The Nest India,"Inside Khader Chawl, Behind Police Camp, Marol Maroshi Road, Vijay Nagar, Andheri East, Mumbai, Maharashtra 400059",9820140676/ 9819761300,info@thenestindia.com,"Orphanages - Shelter,  Food And Education For Orphaned Children",false,Not working with BMC
The Opentree Foundation-Toybank,"The Opentree Foundation, Unit 308, Jagruti Industrial Premises, Vsnl Colony, Opposite Polycab, Mogul Lane, Mahim, Mumbai � 400016",9699560288,mail@toybank.org,Education,true,"Education Department A, B, D, E. F North, F South, G North ,  K East, K West, M West, N , P North, P South, RC R South, S & T Ward"
The Vatsalya Foundation,"Anand Niketan, King, George V Memorial, Dr. E. Moses Rd, Mahalaxmi West, Mumbai, Maharashtra 400011",9324989743,info@thevatsalyafoundation.or g,Education And Training - 1. Education And Literacy 2. Vocational Training 3. Women Welfare,false,Not working with BMC
The Welfare Of Stray Dogs,"Jamnadas Prabhudas Chawl, Adarsh Nagar, Lower Parel, Mumbai, Maharashtra 400013",9819593335/ 8976022838,wsdindia@gmail.com,Animal Welfare - 1. Mass Sterilization 2. Rabies Eradication 3. Healthcare 4. Adoption 5. Education & Awareness,false,Not working with BMC
The Wishing Factory,"05, Ground Floor, Hind Service Industrial Estate, Dadar West, Shivaji Park, Near Chaitya Bhumi, Mumbai - 400028",8657391068,support@thewishingfactory.org,Health - Blood Diseases,false,Not working with BMC
The Yoga Institute,"Shri, Yogendra Marg, Prabhat Colony, Santacruz East, Mumbai, Maharashtra 400055",8879955000,pranee@theyogainstitute.org,"Promoting The Timeless Yet Scientifically Grounded Principles Of Yoga With A Mission To Foster Yoga As A Holistic Lifestyle Choice Accessible To All,  Fostering Wellness Across Diverse Communities.",true,Education Department   H East Ward
Think Foundation / Live Blood Council,"Think Foundation, A-101, Valmiki Apartments, Sunder Nagar, Kalina, Santacruz (East), Mumbai 400 098.",9820146448,vinay@thinkfoundation.org,Health - 1.Blood Diseases 2.Healthcare 3.Other Services,true,Health Department
Think Sharp Foundation,"Flat No. 1401, Building No. 4B, Dreams Complex, Lbs Rd, Bhandup West, Mumbai, Maharashtra 400078",9892742011,info@thinksharpfoundation.org,Education And Training - 1. Education And Literacy - Bridging Urban- Rural Education Divide,false,Not working with BMC
Toghether Foundation,"Shop No. 12,13,14, Poonam Kirti Chs, Poonam Nagar, Andheri East, Mumbai, Maharashtra 400083",7021184634,info@togetherfoundationtrust. org,"Autism- Mental Health - Online Teaching Program,  Language And Communication, Alternative And Augmentative Communication,  Talktime,  Phone Program, Bakery,  The Shop,  Paper Plate,  Paper Bag, Personal Hygiene.",false,Not working with BMC
Trimurti Mitr Mandal,Ramabai Colony Nikam Chaul P.L Lokhande Marg,8286263667,Not Specified,"Community service, festivals, health camps, youth activities.",false,Not working with BMC
Triratna Prerna Mandal,"Tps/6 Triratna Bhavan, Santacruz West, Mumbai, Maharashtra 400054",9867580635,Not Specified,"Poverty,  Civic Issues,  Education,  Helping Women,  Children",true,"SWM Department, H East , H West, P South, F South, G North, M East, M West"
True Wings Foundation,"Banglow No.83, Charkop,Sector 1, Kandivali ( W)., Mumbai - 400 067.",8108591151 / 9870276035,truewingsfoundation@gmail.co m,Health - Drug Addiction Recovery And Support Center,false,Not working with BMC
Try Foundation,"B/41, Naik Nagar, L.B.S Rd, Near Sion Railway Station, Sion West, Mumbai, Maharashtra 400022",9833874363/ 9819567566,info@tryfoundations.com,Education And Training - 1. Orphanages 2. Education And Literacy 3. Senior Citizens Care-Old Age Homes,false,Not working with BMC
Tweet Foundation,"12, Rd No. 2, Teen Dongari, Yashwant Nagar, Goregaon West, Mumbai, Maharashtra 400104",9953911270,support@tweetindia.in,Education And Training - 1. LGBT Rights And Welfare 2. Shelter Homes And Homelessness 3. Capacity Building And Training,false,Not working with BMC
Udaan India Foundation,"Udaan India Foundation, A Wing, Unit No 306, Building No 2, Kailas Industrial Complex, Veer Sawarkar Marg, Parksite Vikhroli West, Mumbai - 400079",9987280883,"sushree@udaanindiafoundation.org",Every Child Educated And Equipped With Equal Opportunities To Transform Their Lives,true,"Education Department, S Ward"
Ujjawal Seva Sanstha,"Rajaram Gali, B-12, Link Road, Bhagatsingh Nagar No. 02, Goregaon (West), Mumbai: 400 104.",8424010606/ 7208189886,ujwala072@gmail.com,"Community service, festivals, health camps, youth activities.",true,"SWM Department, P South Ward"
Ummeed Child Development Center,"Ground Floor, Mantri Pride 1-B, 1/62, N.M. Joshi Marg, Subhash Nagar, Lower Parel, Mumbai 400 011",09819406723 2262488100,sajida.vadgama@ummeed.org,Health -  Disability Support,true,"Education Department  E ,F South, N Ward"
Universal Animal Welfare Society,"Chikku Wadi Rd, Malad, Chikuwadi, Malad West, Mumbai, Maharashtra 400095",9673195559,universalanimalwelfare@gmail. com,"Animal Welfare - 1. Spaying And Castration 2.Vaccination 3. Feeding For Strays 4. OPD,  IPD 5. Rescue,  Rehabilitation And Release",true,"GM Deonar Abbatoir, M West Ward"
Urmi Foundation,"156, Zakeria, Bandar Road, Dock Labour Colony, Abhyudaya Nagar, Parel, Mumbai, Maharashtra 400015",9152004790,urmi.ngo@gmail.com,"Inclusion Of Individuals With Disabilities In The Society Through Education,  Therapy, Capacity Building And Policy Support.",true,"Education Department  , L,  F South, N , M Easr, F/North Ward"
Urmi Foundation,"156, Zakeria, Bandar Road, Dock Labour Colony, Abhyudaya Nagar, Parel, Mumbai, Maharashtra 400015",9152004790,urmi.ngo@gmail.com,Health - 1.Disability Support 2.Special Education,true,"Education Department  , L,  F South, N , M Easr, F/North Ward"
Utkarsh Global Foundation,"Corporate Office No.402-407, 4Th Floor, Vasudev Chambers, Near Sonapur Signal, Opp Dmart, Mulund West,Mumbai- 400078",9870923938,info@utkarshglobalfoundation. org,Animal Welfare - 1. Veterinary Care 2. Daily Feeding Drives 3. Abc (Sterilization & Vaccination) 4. Awareness To End Human-Animal Conflicts,true,T  Ward
V Care Foundation,"A-102, Om Residency, J.W. Road, Near Tata Memorial, Hospital, Opp. Bhoiwada Court, Parel, Mumbai, Maharashtra 400012",9821949401/ 9821949402,admin@vcarecancer.org,Health - 1.Cancer Care 2.Patient Welfare Societies,true,Education and Health Department A to T Ward
Vaishnavi Mahila Mandal,"Rm-12, Chandramani Seva Sangh, Indra Nagar, Link Road, Goregaon (W.), Mumbai: 400 104.",9821483727 / 9833656591,vaishnavimahilamandal1@gmai l.com,Women�s SHG activities Skill development & small enterprise,false,Not working with BMC
Vatsalya Mahila Vikas Mandal,"Room No. 10, Joshi Chawl, Hanuman Nagar (Ram Nagar), Bandrekarwadi, Jogeshwari (East), Mumbai: 400 060.",9819467889,vatsalyamandal@gmail.com,Women�s development & empowerment Education and health awareness.,true,"SWM Department, P/South"
Vatsalya Trust,"Near Kanjurmarg Police Station, Kanjurmarg East, Mumbai, Maharashtra 400042",9892212728 2225782958,admin@vatsalyatrustmumbai.o rg,"Services For Adoption,  Orphanages,  Old Age Home,  Care Of Destitute Girls,  Education, Skill Development Programs For Youth Poverty Alleviation - 1. Orphanages 2. Senior Citizens Care 3. Women Welfare",true,Health Department  S Ward
Vidya,"Gurukrupa, Room No. 10, Hare Krishna Road, Opp. Konark Bldg, Iit Market, Powai, Mumbai, Maharashtra 400076",9833850896,mumbai@vidya-india.org,"Education Through Schools,  Collaborations And Community Programs",true,SWM Department S Ward
Vijay Krida Mandal,"Sai Hill, Tembipada Rd, Kranti Nagar, Bhandup West, Mumbai, Maharashtra 400078",9833158944,Not Specified,"Day-Night Ambualnace Service,  Healthcare, General Library,  Education For Children.",true,Health Department  N & S Ward
Vision Foundation Of India,"Film Centre Building, Ground Floor, 68 Tardeo Road, Mumbai 400034",22-35434662,eyecare@visionfoundationofind ia.in,Health - Free Eye Care,false,Not working with BMC
Vision Rescue,"18 1/1, Near Jothiba Phule Hospital Kannamwar Nagar, Vikhroli East Mumbai � 400083 Maharashtra, India",7738837775 8104582450,"secu@visionrescue.co.in . moses.nirmal@visionrescue.co.i ninfo@visionrescue.co.in","Empowering People To Find Their Purpose, Enjoy Their Rights,  And Live With Dignity. Education,  Support Services For The Child, Family And Community",true,Health & Education Department Working M/East & S Ward
Wildlife Conservation Trust,"Wildlife Conservation Trust, 1103, 11Th Floor ,P.J.Tower, Bombay Stock Exchange Building, Dalal Street, Fort, Mumbai-400001",2249255555,info@wctindia.org,Animal Welfare - 1. Reinforcing Protection 2.Human Wildlife Interface Management 3.Wildlife Population Estimation 4. Enforcement 5.Connectivity Conservation 6. Canine-Assisted Wildlife Investigation Programme,true,A Ward
Wit- Womens India Trust,"110-111, New Udyog Mandir, No. 2, 1St Floor, Mogul Lane, Behind Johnson And Johnson, Mahim West, Mumbai, Maharashtra 400016",9819482567/2235698308,witadministration@wit.org.in/ witmahim@gmail.com,Poverty Alleviation - 1. Women Welfare 2. Vocational Training,false,Not working with BMC
Womens India Trust,"110-111, New Udyog Mandir, No. 2, 1St Floor, Mogul Lane, Behind Johnson And Johnson, Mahim West, Mumbai, Maharashtra 400016",9819482567/2235698308,witadministration@wit.org.in/ witmahim@gmail.com,Poverty Alleviation - 1. Women Rights And Women Welfare 2. Vocational Training,false,Not working with BMC
Wri (World Resources Institute),"1St Floor, Godrej And Boyce Premises, Gas Works Lane, Lalbaug, Parel, Mumbai 400012",9930574421,info@wri.org,"Is A Global Research Organization That Turns Big Ideas Into Action At The Nexus Of Environment,  Economic Opportunity And Human Well-Being.",false,Not working with BMC
Yuva Parivartan,"Parishramalaya, Teen Bunglow Rd, Opp Kherwadi Municipal School, Kherwadi, Bandra East, Mumbai, Maharashtra 400051",8828170103,info@yuvaparivartan.org,Education And Training - 1. Youth Welfare 2. Entrepreneurship & Collaboration 3. Vocational Training,false,Not working with BMC
Yuvak Biradari,"Yuvak Biradari (Bharat) Hazarimal Somani Marg, Fort, Mumbai - 400 001. India",9321127071,info@biradari.org,Community Development - 1.Education 2.Livelihood 3.Community Development 4.Environment 5.Art Culture Heritage,false,Not working with BMC
Demo NGO,"Demo NGO,SFIT,Mumbai",8369456550,anishdesai2107@gmail.com,Timepass Testing,false,Not working with BMC
